Name,TotalCases,Total_Cases_Per_Million,Total_Deaths,Total_Deaths_Per_Million,Total_Vaccinations,Total_Vaccinations_Per Million
Afghanistan,209181,5086.002,7896,191.982,13603457,
Albania,334336,117627.936,3598,1265.868,,
Algeria,271431,6044.799,6881,153.241,,
Andorra,47866,599501.522,165,2066.556,,
Angola,105205,2956.11,1931,54.258,24174309,
Anguilla,3904,245890.282,12,755.81,24489,
Antigua and Barbuda,9106,97107.879,146,1556.968,,
Argentina,10043308,220681.971,130458,2866.558,114548471,
Armenia,446819,160698.975,8721,3136.518,,
Aruba,44026,413548.878,282,2648.907,174375,
Australia,11347698,433492.007,19265,735.94,,
Austria,5878713,657602.334,21848,2443.953,,
Azerbaijan,828426,79978.737,10108,975.857,,
Bahamas,37491,91443.917,833,2031.762,,
Bahrain,705444,479164.7,1548,1051.461,,
Bangladesh,2037773,11903.828,29445,172.006,354659926,
Barbados,106645,378649.084,575,2041.57,381633,
Belarus,994037,104251.871,7118,746.516,,
Belgium,4708273,403938.238,33663,2888.06,29620722,
Belize,70740,174543.84,688,1697.571,502178,
Benin,27990,2096.18,163,12.207,,
Bermuda,18799,292787.391,160,2491.94,,
Bhutan,62615,80023.567,21,26.839,,
Bolivia,1192283,97535.331,22362,1829.335,,
Bosnia and Herzegovina,401575,124190.9,16278,5034.127,,
Botswana,329662,125332.472,2801,1064.898,3171667,
Brazil,36997328,171830.04,698382,3243.559,484988616,
British Virgin Islands,7305,233148.219,64,2042.64,,
Brunei,277992,619133.1,225,501.111,,
Bulgaria,1296450,191161.693,38208,5633.774,4608477,
Burkina Faso,22056,972.754,396,17.465,5856003,
Burundi,53609,4159.095,38,2.948,34493,
Cambodia,138713,8272.557,3056,182.254,46003730,
Cameroon,124328,4453.879,1965,70.393,4272224,
Canada,4595042,119493.494,51253,1332.828,,
Cape Verde,63240,106615.056,413,696.268,,
Cayman Islands,31472,457961.061,37,538.401,,
Central African Republic,15368,2754.542,113,20.254,,
Chad,7675,433.045,194,10.946,6368186,
Chile,5154016,262909.886,64109,3270.244,,
China,2023904,1419.4,87468,61.343,3491077000,
Colombia,6356468,122536.619,142296,2743.107,,
Comoros,8998,10753.087,161,192.404,,
Congo,25077,4200.2,388,64.987,,
Cook Islands,7020,412165.336,2,117.426,40854,
Costa Rica,1199055,231440.447,9214,1778.477,,
Cote d'Ivoire,88138,3129.84,834,29.616,25263932,
Croatia,1268666,314777.262,17950,4453.695,5360084,
Cuba,1112561,99227.734,8530,760.779,43614510,
Curacao,45986,240546.521,301,1574.49,,
Cyprus,647031,722127.171,1297,1447.533,,
Czechia,4604427,438768,42397,4040.122,18615864,
