iso_code,continent,location,date,vaccinated,partially_vaccinated,fully_vaccinated
AFG,Asia,Afghanistan,07-06-2022,15.49,13.7,12.07
OWID_AFR,,Africa,07-06-2022,37.39,22.7,17.39
ALB,Europe,Albania,07-06-2022,99.77,45.91,43.16
DZA,Africa,Algeria,07-06-2022,34.08,17.57,14.53
AND,Europe,Andorra,07-06-2022,197.78,74.82,69.09
AGO,Africa,Angola,07-06-2022,54.32,36.36,19.32
AIA,North America,Anguilla,07-06-2022,156.04,71.05,66.47
ATG,North America,Antigua and Barbuda,07-06-2022,127.5,64.82,62.68
ARG,South America,Argentina,07-06-2022,227.02,90.16,82.18
ARM,Asia,Armenia,07-06-2022,72.41,38.05,33.19
ABW,North America,Aruba,07-06-2022,159.95,82.98,76.96
OWID_ASI,,Asia,07-06-2022,173.68,75.62,71.78
AUS,Oceania,Australia,07-06-2022,223.8,86.58,83.87
AUT,Europe,Austria,07-06-2022,203.13,75.51,73.2
AZE,Asia,Azerbaijan,07-06-2022,134.28,52.32,47.43
BHS,North America,Bahamas,07-06-2022,85.88,41.94,39.8
BHR,Asia,Bahrain,07-06-2022,197.16,70.77,69.86
BGD,Asia,Bangladesh,07-06-2022,160.58,77.61,70.95
BRB,North America,Barbados,07-06-2022,109.63,56.48,53.15
BLR,Europe,Belarus,07-06-2022,135.63,66.96,64.21
BEL,Europe,Belgium,07-06-2022,218.77,79.48,78.63
BLZ,North America,Belize,07-06-2022,117.7,58.7,52.32
BEN,Africa,Benin,07-06-2022,29.07,25.38,21.11
BMU,North America,Bermuda,07-06-2022,211.96,78.2,76.75
BTN,Asia,Bhutan,07-06-2022,244.74,88.83,86.19
BOL,South America,Bolivia,07-06-2022,115.69,60.86,50.43
BES,North America,Bonaire Sint Eustatius and Saba,07-06-2022,135.55,72.26,63.29
BIH,Europe,Bosnia and Herzegovina,07-06-2022,58.98,28.91,25.93
BWA,Africa,Botswana,07-06-2022,97.22,61.99,56.26
BRA,South America,Brazil,07-06-2022,207.73,86.04,77.84
VGB,North America,British Virgin Islands,07-06-2022,134.66,63.51,58.9
BRN,Asia,Brunei,07-06-2022,263.33,100.36,95.51
BGR,Europe,Bulgaria,07-06-2022,63.82,30.3,29.87
BFA,Africa,Burkina Faso,07-06-2022,13.67,11.35,7.19
BDI,Africa,Burundi,07-06-2022,0.12,0.11,0.11
KHM,Asia,Cambodia,07-06-2022,234.03,88.62,84.27
CMR,Africa,Cameroon,07-06-2022,6.75,5.72,4.46
CAN,North America,Canada,07-06-2022,225.01,85.99,82.51
CPV,Africa,Cape Verde,07-06-2022,135.7,63.22,54.71
CYM,North America,Cayman Islands,07-06-2022,216.86,91.72,88.88
CAF,Africa,Central African Republic,07-06-2022,24.1,22.21,21.07
TCD,Africa,Chad,07-06-2022,13.91,13.09,12.35
CHL,South America,Chile,07-06-2022,299.19,93.55,91.28
CHN,Asia,China,07-06-2022,234.44,89.38,87.05
COL,South America,Colombia,07-06-2022,163.04,82.35,69.79
COM,Africa,Comoros,07-06-2022,72.32,38.42,33.9
COG,Africa,Congo,07-06-2022,14.68,12.28,11.55
COK,Oceania,Cook Islands,07-06-2022,226.38,85.55,83.57
CRI,North America,Costa Rica,07-06-2022,214.39,86.35,80.62
CIV,Africa,Cote d'Ivoire,07-06-2022,45.79,29.4,20.1
HRV,Europe,Croatia,07-06-2022,128.73,56.71,54.98
CUB,North America,Cuba,07-06-2022,330.77,94.3,88.06
CUW,North America,Curacao,07-06-2022,153.78,65.65,60.33
CYP,Europe,Cyprus,07-06-2022,199.17,74.52,71.92
CZE,Europe,Czechia,07-06-2022,164.54,64.93,64.12
COD,Africa,Democratic Republic of Congo,07-06-2022,2.63,2.05,1.29
DNK,Europe,Denmark,07-06-2022,227.48,83.15,82.5
DJI,Africa,Djibouti,07-06-2022,19.61,17.56,13.56
DMA,North America,Dominica,07-06-2022,92.46,45.39,42.02
DOM,North America,Dominican Republic,07-06-2022,143.22,65.95,54.64
ECU,South America,Ecuador,07-06-2022,197.34,84.8,78.15
EGY,Africa,Egypt,07-06-2022,81.78,45.9,33.89
SLV,North America,El Salvador,07-06-2022,166.22,70.67,66.14
GNQ,Africa,Equatorial Guinea,07-06-2022,33.11,18.31,14.79
ERI,Africa,Eritrea,07-06-2022,33.11,18.31,14.79
EST,Europe,Estonia,07-06-2022,150.26,65.08,63.91
SWZ,Africa,Eswatini,07-06-2022,45.67,33.05,28.67
ETH,Africa,Ethiopia,07-06-2022,24.92,21.01,18.06
OWID_EUR,,Europe,07-06-2022,171.81,68.62,65.79
OWID_EUN,,European Union,07-06-2022,196.26,75.43,73.44
FRO,Europe,Faeroe Islands,07-06-2022,211.8,85.04,83.37
FLK,South America,Falkland Islands,07-06-2022,124.91,74.6,50.31
FJI,Oceania,Fiji,07-06-2022,163.31,78.19,70.27
FIN,Europe,Finland,07-06-2022,217.35,81.36,78.02
FRA,Europe,France,07-06-2022,214.65,80.7,78.37
PYF,Oceania,French Polynesia,07-06-2022,160.43,66.67,63.99
GAB,Africa,Gabon,07-06-2022,24.51,13.53,11.23
GMB,Africa,Gambia,07-06-2022,28.95,18.07,14.25
GEO,Asia,Georgia,07-06-2022,72.77,40.89,31.87
DEU,Europe,Germany,07-06-2022,214.77,76.94,76.9
GHA,Africa,Ghana,07-06-2022,50.81,30.86,19.95
GIB,Europe,Gibraltar,07-06-2022,355.75,124.88,122.94
GRC,Europe,Greece,07-06-2022,202.84,76.33,73.53
GRL,North America,Greenland,07-06-2022,140.23,72.52,67.7
GRD,North America,Grenada,07-06-2022,78.51,38.62,33.99
GTM,North America,Guatemala,07-06-2022,96.21,45.2,34.27
GIN,Africa,Guinea,07-06-2022,45.4,33.18,18.6
GNB,Africa,Guinea-Bissau,07-06-2022,27.91,25.77,16.94
GUY,South America,Guyana,07-06-2022,115.13,60.35,46.48
HTI,North America,Haiti,07-06-2022,2.43,1.6,1.12
OWID_HIC,,High income,07-06-2022,204.21,79.8,74.87
HND,North America,Honduras,07-06-2022,138.41,59.94,54.01
HKG,Asia,Hong Kong,07-06-2022,228.35,88.86,84.19
HUN,Europe,Hungary,07-06-2022,171.58,66.53,64.32
ISL,Europe,Iceland,07-06-2022,218.41,84,78.69
IND,Asia,India,07-06-2022,139.36,72.66,64.15
IDN,Asia,Indonesia,07-06-2022,145.21,72.51,60.64
OWID_INT,,International,07-06-2022,145.21,72.51,60.64
IRN,Asia,Iran,07-06-2022,176.36,75.91,68.05
IRQ,Asia,Iraq,07-06-2022,44.57,25.92,18.21
IRL,Europe,Ireland,07-06-2022,219.62,82.03,81.01
IMN,Europe,Isle of Man,07-06-2022,222.08,81.41,78.47
ISR,Asia,Israel,07-06-2022,195.46,72.22,66.1
ITA,Europe,Italy,07-06-2022,228.41,84.13,79.41
JAM,North America,Jamaica,07-06-2022,48.62,27.1,23.61
JPN,Asia,Japan,07-06-2022,223.6,82.21,81.04
JOR,Asia,Jordan,07-06-2022,96.91,46.64,43.91
